Run_Time,Path_Length,Heading_Changes,Total_Degrees
0.004074851,94.61545743,6,93.4419863
0.002554531,71.22335681,3,69.27099196
0.017042972,116.0646063,10,114.1264403
0.003194167,93.13900271,4,91.32116565
0.015773182,88.04179128,10,86.49684064
0.004746213,111.5428262,8,108.7165852
0.051901658,116.8529002,11,114.8110115
0.04355722,121.5779945,9,116.7197943
0.031764074,109.4261488,12,107.4279593
0.131417052,133.6569444,16,128.6487705
0.0068883,99.31569491,6,95.62086532
0.018163611,102.018783,10,100.1174805
0.085516081,103.4964365,11,101.5048114
0.004403786,122.3777826,9,119.0600709
0.008775116,96.51885636,7,93.68043152
0.01143759,63.85524948,5,62.27515128
0.018538859,108.34481,8,104.6267736
0.004506988,87.18496467,4,85.92712838
0.004246977,67.77097,5,65.64438669
0.009439549,118.4925067,6,114.658359
0.042677266,100.5728631,11,97.34119598
0.017291314,97.9550788,5,95.78626108
0.00908764,94.14654921,4,92.31094351
0.00349721,93.08607112,2,91.66513126
0.061820387,97.0722649,9,93.75794212
0.003478247,66.18000575,2,65.06897804
0.003948675,105.2409747,6,101.8615472
0.034607791,131.1648964,11,127.7077274
0.004108036,93.77052397,3,92.28409633
0.129442715,79.34078019,12,76.40648291
0.006765405,108.0635868,8,104.9417522
0.123006973,90.48080156,10,88.26746987
0.011160074,116.4809743,10,114.1503788
0.004876402,91.90288852,6,90.1484155
0.027479901,90.7503114,10,89.21230771
0.060587429,108.9698439,9,107.0888377
0.028380278,103.547355,11,101.020743
0.025302077,82.02696911,7,80.12616623
0.022629391,118.5773526,9,115.1506465
0.059847509,81.11155451,8,78.75171464
0.004116059,95.75362617,6,94.40854007
0.003375774,96.88675403,6,95.40995202
0.018469207,121.5059217,11,117.2198201
0.152593952,92.40095621,9,90.43596668
0.011375596,89.8036919,5,87.97445101
0.009858558,125.6169572,9,123.0278707
0.056275905,111.9890162,8,108.2504454
0.004943501,103.1402995,5,101.8679348
0.001507921,83.60848709,2,82.69492817
0.042450439,77.996805,6,75.98310096
0.022375579,100.6741213,7,98.09669153
0.015365843,124.0847119,12,121.7247407
0.016586402,108.4426832,11,106.5873311
0.016167393,101.7050985,8,99.48013212
0.099831302,70.82449091,9,67.94619184
0.012500246,97.22959914,9,95.78386983
0.111649611,101.9992193,12,97.77833975
0.01695071,111.4263224,10,107.4004733
0.013864851,93.89207443,8,92.51242019
0.002725927,101.2139158,7,99.00512489
0.006005428,90.99278849,6,89.857298
0.006570306,106.10728,5,103.6128822
0.028408722,115.2810484,9,112.6768143
0.004781587,114.5368197,7,112.1797783
0.004404515,111.2754624,6,108.2106422
0.082641367,133.2065747,14,127.416795
0.016284818,76.06084632,5,72.74687651
0.005404083,70.5225201,4,69.21941098
0.011802628,97.05667206,6,94.23220767
0.091660449,91.68009472,6,89.19479219
0.001898485,92.96357508,3,91.87032956
0.006366454,86.14676636,2,85.21710706
0.007351799,87.74112158,6,86.67351195
0.011473328,69.91823453,8,68.05057283
0.002971352,86.97361129,5,85.91611058
0.002753643,89.41612733,3,88.19534068
0.004775023,104.4662014,8,102.1927449
0.020455943,106.7147256,10,104.218287
0.031508804,87.70028492,5,85.98241845
0.00434398,89.70263114,7,87.60965099
0.028927651,122.3403518,9,118.9789769
0.007124243,97.8911008,4,96.21129047
0.009591982,107.1238357,4,104.577656
0.006294248,99.40064874,5,97.74811257
0.002697118,73.19929415,6,71.45725272
0.015072282,97.9569155,7,96.44356526
0.023089243,122.9054792,9,118.8610369
0.015242584,83.03860492,5,81.56516099
0.024018794,94.9275024,9,92.90332318
0.006588539,90.07745646,4,87.70339245
0.006960505,98.06982899,8,96.17204919
0.329911246,89.1455422,10,86.14481054
0.003247774,98.44983853,6,96.4032462
0.004920892,79.42642491,5,78.268931
0.001549129,58.67540662,3,57.52941758
0.015004817,71.88532118,4,70.75176479
0.008860814,90.87421323,5,88.7108075
0.006210738,103.9863553,9,101.3951051
0.014186857,100.1188057,6,97.19808234
0.005209348,103.7485287,4,101.1877359
0.018781366,93.79500207,6,91.9981291
0.012284725,116.7703891,9,112.9225397
0.044162212,84.22920336,4,82.81453582
0.002440389,106.351508,4,104.9401271
0.010504758,105.6977078,12,104.1485044
0.017411292,106.6663739,11,104.3461403
0.004540538,94.42727042,4,92.60440289
0.003355352,103.3787579,7,101.3183057
0.05134772,101.1143024,10,98.52885071
0.050992894,94.09933267,12,92.23639161
0.03163498,105.9155577,11,103.7739534
0.003860424,94.55501737,7,93.38608563
0.004218168,117.6663972,6,112.7438219
0.159865523,117.7056589,15,113.7275456
0.014143096,90.95986124,12,89.93192565
0.045294156,92.43702927,7,90.94737996
0.013973888,112.7849688,9,110.3956001
0.151478054,110.4857224,9,107.5179764
0.058793605,114.3283844,12,109.8593196
0.023468868,117.1196506,9,113.6789318
0.017608944,112.6081488,8,110.4701914
0.001179716,106.082761,5,103.5165223
0.011619197,103.5734228,7,101.480313
0.013475745,84.2999743,7,83.00431686
0.199902195,109.3563859,11,106.4071175
0.02127755,60.52035726,6,58.9844128
0.006021109,117.5777104,10,114.8028048
0.010985761,95.73822113,7,91.90548113
0.018495463,89.60451732,8,88.44807269
0.111687537,103.7200269,12,100.3260345
0.056573478,96.88012776,8,95.15976048
0.011762878,75.31641549,7,73.61109113
0.002029403,107.3995775,7,104.6756604
0.015947861,113.9434086,10,110.6926635
0.002871432,107.5301465,5,105.5217356
0.021914998,96.86413095,8,95.69964879
0.028406899,97.76346483,8,95.20657162
0.019307224,115.9415796,10,111.5534818
0.006484972,102.1839537,5,98.88536283
0.004043854,96.3097796,4,95.26154826
0.002547603,106.0327072,4,103.3959661
0.005273895,95.86960699,9,94.58026231
0.030430831,76.09903558,6,74.5793201
0.104280308,109.8220893,10,106.1544517
0.02385615,142.3564801,10,138.9620681
0.016704921,89.72782161,6,88.39275246
0.051797362,118.0726426,11,115.7320724
0.014923131,102.6010817,10,101.0724137
0.010185669,114.063542,8,112.2501806
0.009280552,75.2167879,6,73.57226607
0.09418763,116.4550767,11,112.9283318
0.01152657,130.5302522,7,127.0520089
0.008286819,108.6639113,8,106.9331858
0.010573316,63.42782559,4,61.68810285
0.012613295,100.0314788,6,98.85972718
0.020676934,104.7344072,7,102.16325
0.01277448,88.66464313,8,86.7692755
0.010072986,104.4157752,7,102.1398277
0.008411537,112.9315675,8,110.3527217
0.102920808,100.4218974,12,98.48575932
0.00171542,89.84166957,4,88.3742269
0.001132308,94.5084374,4,93.01899163
0.025408926,149.7045249,15,144.8068064
0.012883882,102.6946265,8,101.3519344
0.005220652,108.5522033,7,105.3019426
0.003796971,75.12499855,3,73.3871555
0.000806656,90.86659309,3,90.11008681
0.027451457,89.21804505,6,87.18170791
0.014462914,96.99537022,8,95.68442714
0.020445732,75.71780291,5,74.39050311
0.005995582,98.09211096,7,96.22686702
0.002828036,100.7168534,9,98.81886833
0.012088531,77.54605914,7,76.13552321
0.119864954,97.01636236,11,94.89527058
0.017258494,99.22661195,8,97.08319225
0.016445274,84.18141626,4,82.61693035
0.007393007,96.64158009,4,93.339623
0.199516736,99.33691792,12,96.14215113
0.009295504,111.655102,9,108.2652314
0.009412199,85.29787688,8,84.00410931
0.032912793,98.4647129,7,96.4914704
0.006745713,84.67811266,3,83.3397628
0.022708525,73.4530966,9,71.92580306
0.00415435,103.1038575,5,101.3242664
0.022119944,107.8772904,9,104.9969235
0.004336686,97.57175715,4,95.97018131
0.004563148,85.99901758,3,84.70828953
0.093825875,101.2941958,10,98.04093899
0.003462201,64.06705627,4,62.80758966
0.012226377,100.1417843,6,97.41294084
0.53666892,69.02302216,7,66.09560199
0.007472506,100.9981764,4,98.96634361
0.022106816,101.0803551,5,98.73182739
0.005963126,103.6392375,4,101.6776078
0.021776422,73.29582094,8,71.59072099
0.007301474,95.06024392,10,92.12290113
0.004414726,92.4956831,6,91.31864969
0.002003876,65.80892322,4,63.62986318
0.002878725,48.0416486,1,47.14560579
0.013809421,110.7936735,10,108.6798741
0.021353767,97.84839721,6,96.61825112
0.003449802,114.9870381,6,111.7382997
0.02733622,67.56237632,9,65.02662627
0.003950863,99.57467379,5,97.90895057
0.3569426,79.90113234,13,77.25512632
0.004846498,81.94772168,5,80.74343387
0.023551648,104.5111825,8,102.3986657
0.031044211,106.0653988,7,103.7876875
0.00436586,81.69317685,5,80.56071856
0.010129874,79.8878825,5,76.70171254
0.03146869,83.16086209,9,81.40332235
0.059288101,105.35523,9,102.6621357
0.004880413,99.80683753,8,98.32322023
0.007112209,81.4354941,4,79.11753224
0.078793342,143.3777293,14,138.6000453
0.132548996,105.6563518,13,102.4267686
0.014239734,102.2552392,9,100.5674273
0.011407687,118.8391694,8,113.6069112
0.048940517,96.19667549,9,94.39003735
0.015646641,111.4468103,7,107.8470667
0.000905482,48.0416486,1,47.14560579
0.012624964,102.203548,6,100.1797735
0.003492834,115.4845335,6,112.5550537
0.007465941,90.60010886,4,89.45683418
0.00568561,103.3743886,7,101.0376654
0.006902158,88.11657842,2,86.93329121
0.016243245,120.1607806,7,115.9250791
0.008355013,125.1018118,10,122.2640593
0.0050839,83.24313493,4,82.35514868
0.003360458,89.26357449,6,88.06841051
0.020948251,81.13554467,7,79.61354767
0.00578553,87.80908258,5,86.25888734
0.005667012,95.56680049,8,94.21892582
0.008039936,78.13181918,6,76.94197034
0.006573952,72.81927244,7,71.55645043
0.000662975,53.51887417,2,52.13850536
0.008295571,84.30267374,7,81.85854322
0.001676035,61.19463104,4,59.94574302
0.159044645,104.7534613,10,101.9769049
0.071158193,97.97658988,14,95.49799253
0.003093153,92.58180959,5,90.78184507
0.009263048,81.42636944,6,79.62543934
0.046825416,109.9842343,12,107.4559937
0.008907857,131.0216696,8,127.9000937
0.006445952,114.8567559,11,112.5226389
0.013049808,74.18769243,8,72.92378798
0.220927392,111.0198633,9,107.7235715
0.079802391,117.4849639,14,114.0112439
0.060334346,102.7070308,9,100.8144615
0.004843946,68.28579453,4,67.1352031
0.013476475,68.29881119,4,67.00601383
0.00043396,73.18125878,2,72.07192156
0.003752845,107.4923093,5,106.1123686
0.034441136,100.3529071,7,97.82431517
0.011913488,108.5257766,6,106.8188422
0.004610555,100.301769,8,97.56106964
0.004053336,85.91570678,4,84.27150591
0.006344573,121.1501562,8,118.7962627
0.025044253,86.73266353,9,84.77172994
0.019171201,104.3765668,8,102.7215575
0.008934842,108.5016939,6,105.8384183
0.010470114,87.77525936,5,86.1777211
0.014693387,95.27824214,8,92.8350981
0.035476806,128.4750647,12,122.7518267
0.009185737,106.1751695,10,104.2703977
0.012174229,98.70495533,7,96.78115499
0.019583281,124.3333127,8,120.568972
0.020101116,108.1036945,11,105.3439861
0.008294477,117.2963744,8,114.2446498
0.011665146,112.5435476,12,110.8596615
0.011537511,90.60715329,7,88.4211372
0.00544055,107.1605586,10,104.8178824
0.003295546,73.86493974,4,72.09864383
0.002727751,103.8132751,4,101.2096081
0.02725271,75.32948077,5,73.13225504
0.002523169,48.0416486,1,47.14560579
0.016245069,86.4867359,5,84.53629667
0.016520032,88.88997225,8,87.40037484
0.031005191,82.02308076,7,79.88619489
0.012846685,92.62384122,6,91.36752199
0.130964493,104.7728394,11,101.0373491
0.016815781,106.6369547,10,104.4034299
0.248414586,107.1667198,17,104.0445679
0.002952024,70.63565511,3,69.4081232
0.006903616,111.0838553,8,109.4217992
0.007412699,113.2057674,7,109.6817285
0.135459447,109.4325319,10,106.9239267
0.016124727,106.3867952,9,103.3287672
0.005809234,98.65800435,6,96.68567335
0.040716786,86.46248509,8,84.81305311
0.019321446,103.0359864,13,100.4996065
0.001942611,103.2830124,7,101.3215355
0.012156725,95.15439644,6,92.64200084
0.009608028,116.6286382,8,114.3768814
0.005151365,59.79389444,3,58.51428794
0.013332794,110.3806784,9,107.6036892
0.012244246,128.5609465,8,123.9081615
0.005596265,83.22807091,6,81.26132712
0.006310659,103.6733218,4,101.2827964
0.012498058,98.67440597,7,96.71846853
0.003396925,96.22892606,7,95.06017153
0.006711799,93.49499528,4,92.09966893
0.005952915,83.64325018,4,82.59195703
0.001766109,93.10699777,4,91.28109079
0.006808072,92.01180558,5,90.51268234
0.018024671,119.3293333,12,116.6811757
0.004563512,99.89543928,8,98.04965558
0.005565268,56.28785985,2,55.19194757
0.009653247,93.74698596,6,92.40116609
0.029955663,85.34376679,6,83.85912342
0.004791068,114.4510819,7,110.8387094
0.009937327,109.7143491,9,107.977203
0.047087616,127.836022,13,123.5833383
0.003534406,93.95149461,8,92.37385614
0.061678165,76.77897862,8,74.00386573
0.009660541,59.91565647,4,58.71775975
0.004088344,96.73968689,3,94.90004466
0.011022228,123.2403645,8,117.1826246
0.007222705,70.05492746,4,68.28856345
0.001631545,97.02601735,4,95.92737456
0.008326204,72.67950197,4,71.4533576
0.01739087,116.3919086,7,112.2765723
0.001918178,85.6032813,4,83.95065678
0.011776736,101.5617842,6,99.46076607
0.008207321,116.3864139,7,112.9950224
0.165740034,100.8507297,11,98.44247047
0.004651034,102.7548287,4,100.6377901
0.015075564,122.1063542,11,119.7953668
0.068389963,98.28380737,8,96.55471686
0.011620291,130.2875859,8,127.0020514
0.004002281,101.0143183,5,99.99827722
0.037172898,90.73264072,8,88.15544942
0.003838908,76.60544409,5,74.4236188
0.104794131,82.88292019,11,80.32266602
0.00172016,98.20848982,4,94.80665862
0.005846795,71.1544027,4,69.78237365
0.203971941,115.3152769,13,112.5715856
0.043420468,103.9719582,10,102.1909004
0.006646157,127.6289403,8,123.3516933
0.006598021,95.41449053,6,93.96175959
0.006507217,100.816078,8,98.10795907
0.009849077,96.47741582,5,94.85157687
0.044069585,119.6805751,12,116.6431793
0.032844234,88.30524681,6,87.40151132
0.048793918,73.58485236,9,70.83956486
0.012162195,116.2592575,8,112.6309171
