RT,PL,HC,DEG
1.499666507,65.09564736,37,58.80857807
1.488446257,65.09564736,37,58.80857807
1.488804731,65.09564736,37,58.80857807
1.488251522,65.09564736,37,58.80857807
1.489029369,65.09564736,37,58.80857807
1.497691075,65.09564736,37,58.80857807
1.499290529,65.09564736,37,58.80857807
1.499597584,65.09564736,37,58.80857807
1.500401322,65.09564736,37,58.80857807
1.491954773,65.09564736,37,58.80857807
1.49681659,65.09564736,37,58.80857807
1.495735335,65.09564736,37,58.80857807
1.492116323,65.09564736,37,58.80857807
1.500112866,65.09564736,37,58.80857807
1.489383101,65.09564736,37,58.80857807
1.489767831,65.09564736,37,58.80857807
1.499922872,65.09564736,37,58.80857807
1.490801314,65.09564736,37,58.80857807
1.500150792,65.09564736,37,58.80857807
1.494357966,65.09564736,37,58.80857807
1.489472811,65.09564736,37,58.80857807
1.493151264,65.09564736,37,58.80857807
1.484260544,65.09564736,37,58.80857807
1.488102736,65.09564736,37,58.80857807
1.498846723,65.09564736,37,58.80857807
1.498196876,65.09564736,37,58.80857807
1.497564898,65.09564736,37,58.80857807
1.5159021,65.09564736,37,58.80857807
1.49730671,65.09564736,37,58.80857807
1.500650029,65.09564736,37,58.80857807
1.495061785,65.09564736,37,58.80857807
1.493416017,65.09564736,37,58.80857807
1.502369826,65.09564736,37,58.80857807
1.490912539,65.09564736,37,58.80857807
1.505163948,65.09564736,37,58.80857807
1.499701151,65.09564736,37,58.80857807
1.49302837,65.09564736,37,58.80857807
1.49564672,65.09564736,37,58.80857807
1.488130451,65.09564736,37,58.80857807
1.486908068,65.09564736,37,58.80857807
1.492288813,65.09564736,37,58.80857807
1.500227009,65.09564736,37,58.80857807
1.483873991,65.09564736,37,58.80857807
1.502528093,65.09564736,37,58.80857807
1.49218087,65.09564736,37,58.80857807
1.48673813,65.09564736,37,58.80857807
1.489527876,65.09564736,37,58.80857807
1.497867576,65.09564736,37,58.80857807
1.499883852,65.09564736,37,58.80857807
1.505917362,65.09564736,37,58.80857807
1.513470098,65.09564736,37,58.80857807
1.502116013,65.09564736,37,58.80857807
1.545356714,65.09564736,37,58.80857807
1.494564006,65.09564736,37,58.80857807
1.495657295,65.09564736,37,58.80857807
1.493750422,65.09564736,37,58.80857807
1.491563479,65.09564736,37,58.80857807
1.495622651,65.09564736,37,58.80857807
1.495368839,65.09564736,37,58.80857807
1.50140089,65.09564736,37,58.80857807
1.497569274,65.09564736,37,58.80857807
1.49539619,65.09564736,37,58.80857807
1.495916942,65.09564736,37,58.80857807
1.492689224,65.09564736,37,58.80857807
1.48608719,65.09564736,37,58.80857807
1.491858864,65.09564736,37,58.80857807
1.491962431,65.09564736,37,58.80857807
1.487725299,65.09564736,37,58.80857807
1.499390814,65.09564736,37,58.80857807
1.487057948,65.09564736,37,58.80857807
1.481682308,65.09564736,37,58.80857807
1.489128925,65.09564736,37,58.80857807
1.482453226,65.09564736,37,58.80857807
1.48779714,65.09564736,37,58.80857807
1.482353306,65.09564736,37,58.80857807
1.495879016,65.09564736,37,58.80857807
1.491889497,65.09564736,37,58.80857807
1.48593111,65.09564736,37,58.80857807
1.492191446,65.09564736,37,58.80857807
1.496400133,65.09564736,37,58.80857807
1.485004841,65.09564736,37,58.80857807
1.497950357,65.09564736,37,58.80857807
1.499317515,65.09564736,37,58.80857807
1.501303158,65.09564736,37,58.80857807
1.493355116,65.09564736,37,58.80857807
1.489857905,65.09564736,37,58.80857807
1.495833797,65.09564736,37,58.80857807
1.495241204,65.09564736,37,58.80857807
1.496862174,65.09564736,37,58.80857807
1.497758539,65.09564736,37,58.80857807
1.510480876,65.09564736,37,58.80857807
1.494817819,65.09564736,37,58.80857807
1.491515707,65.09564736,37,58.80857807
1.488163271,65.09564736,37,58.80857807
1.498809891,65.09564736,37,58.80857807
1.499301834,65.09564736,37,58.80857807
1.500581106,65.09564736,37,58.80857807
1.493596165,65.09564736,37,58.80857807
1.495204007,65.09564736,37,58.80857807
1.495124508,65.09564736,37,58.80857807
1.482854366,65.09564736,37,58.80857807
1.49937878,65.09564736,37,58.80857807
1.505805042,65.09564736,37,58.80857807
1.489624879,65.09564736,37,58.80857807
1.496596327,65.09564736,37,58.80857807
1.498148374,65.09564736,37,58.80857807
1.498724557,65.09564736,37,58.80857807
1.494514046,65.09564736,37,58.80857807
1.486481036,65.09564736,37,58.80857807
1.488856149,65.09564736,37,58.80857807
1.497883987,65.09564736,37,58.80857807
1.495976384,65.09564736,37,58.80857807
1.500669721,65.09564736,37,58.80857807
1.487404752,65.09564736,37,58.80857807
1.495185044,65.09564736,37,58.80857807
1.50210252,65.09564736,37,58.80857807
1.500348445,65.09564736,37,58.80857807
1.489694532,65.09564736,37,58.80857807
1.491737064,65.09564736,37,58.80857807
1.491237097,65.09564736,37,58.80857807
1.493980895,65.09564736,37,58.80857807
1.498068146,65.09564736,37,58.80857807
1.497722801,65.09564736,37,58.80857807
1.513117459,65.09564736,37,58.80857807
1.497336248,65.09564736,37,58.80857807
1.489760173,65.09564736,37,58.80857807
1.495672611,65.09564736,37,58.80857807
1.491667411,65.09564736,37,58.80857807
1.495698139,65.09564736,37,58.80857807
1.485565708,65.09564736,37,58.80857807
1.494104154,65.09564736,37,58.80857807
1.496397945,65.09564736,37,58.80857807
1.502046726,65.09564736,37,58.80857807
1.500362302,65.09564736,37,58.80857807
1.495770344,65.09564736,37,58.80857807
1.489770019,65.09564736,37,58.80857807
1.494344473,65.09564736,37,58.80857807
1.494615061,65.09564736,37,58.80857807
1.491352334,65.09564736,37,58.80857807
1.49364029,65.09564736,37,58.80857807
1.49128961,65.09564736,37,58.80857807
1.485970494,65.09564736,37,58.80857807
1.492791697,65.09564736,37,58.80857807
1.490358966,65.09564736,37,58.80857807
1.506191595,65.09564736,37,58.80857807
1.49177426,65.09564736,37,58.80857807
1.490230965,65.09564736,37,58.80857807
1.493475823,65.09564736,37,58.80857807
1.501916537,65.09564736,37,58.80857807
1.497186732,65.09564736,37,58.80857807
1.491207559,65.09564736,37,58.80857807
1.491194431,65.09564736,37,58.80857807
1.486931772,65.09564736,37,58.80857807
1.494585522,65.09564736,37,58.80857807
1.488584104,65.09564736,37,58.80857807
1.49515587,65.09564736,37,58.80857807
1.483706971,65.09564736,37,58.80857807
1.492312882,65.09564736,37,58.80857807
1.49948417,65.09564736,37,58.80857807
1.494469556,65.09564736,37,58.80857807
1.484927895,65.09564736,37,58.80857807
1.486646598,65.09564736,37,58.80857807
1.489658065,65.09564736,37,58.80857807
1.488872924,65.09564736,37,58.80857807
1.490933325,65.09564736,37,58.80857807
1.490344014,65.09564736,37,58.80857807
1.493576108,65.09564736,37,58.80857807
1.484334573,65.09564736,37,58.80857807
1.487630484,65.09564736,37,58.80857807
1.493046968,65.09564736,37,58.80857807
1.495330548,65.09564736,37,58.80857807
1.484504145,65.09564736,37,58.80857807
1.495715278,65.09564736,37,58.80857807
1.486890199,65.09564736,37,58.80857807
1.487622462,65.09564736,37,58.80857807
1.493440815,65.09564736,37,58.80857807
1.487597299,65.09564736,37,58.80857807
1.50261525,65.09564736,37,58.80857807
1.499672706,65.09564736,37,58.80857807
1.496435142,65.09564736,37,58.80857807
1.498678973,65.09564736,37,58.80857807
1.490481131,65.09564736,37,58.80857807
1.49039835,65.09564736,37,58.80857807
1.494758012,65.09564736,37,58.80857807
1.493182991,65.09564736,37,58.80857807
1.492305953,65.09564736,37,58.80857807
1.491467935,65.09564736,37,58.80857807
1.482371539,65.09564736,37,58.80857807
1.496660874,65.09564736,37,58.80857807
1.488591032,65.09564736,37,58.80857807
1.480534683,65.09564736,37,58.80857807
1.493377361,65.09564736,37,58.80857807
1.484988431,65.09564736,37,58.80857807
1.493002478,65.09564736,37,58.80857807
1.483859039,65.09564736,37,58.80857807
1.499782837,65.09564736,37,58.80857807
1.501143796,65.09564736,37,58.80857807
1.491578796,65.09564736,37,58.80857807
1.492459845,65.09564736,37,58.80857807
1.498527269,65.09564736,37,58.80857807
1.497313274,65.09564736,37,58.80857807
1.488779203,65.09564736,37,58.80857807
1.489675934,65.09564736,37,58.80857807
1.494078992,65.09564736,37,58.80857807
1.487010906,65.09564736,37,58.80857807
1.489248902,65.09564736,37,58.80857807
1.497695086,65.09564736,37,58.80857807
1.4958028,65.09564736,37,58.80857807
1.509379929,65.09564736,37,58.80857807
1.502623273,65.09564736,37,58.80857807
1.492327469,65.09564736,37,58.80857807
1.486259315,65.09564736,37,58.80857807
1.50417532,65.09564736,37,58.80857807
1.488093619,65.09564736,37,58.80857807
1.491885121,65.09564736,37,58.80857807
1.4921816,65.09564736,37,58.80857807
1.493140324,65.09564736,37,58.80857807
1.487913106,65.09564736,37,58.80857807
1.498699759,65.09564736,37,58.80857807
1.493863835,65.09564736,37,58.80857807
1.500582929,65.09564736,37,58.80857807
1.484732795,65.09564736,37,58.80857807
1.498220215,65.09564736,37,58.80857807
1.488743466,65.09564736,37,58.80857807
1.489384925,65.09564736,37,58.80857807
1.496163461,65.09564736,37,58.80857807
1.504165839,65.09564736,37,58.80857807
1.494728109,65.09564736,37,58.80857807
1.493808769,65.09564736,37,58.80857807
1.487941915,65.09564736,37,58.80857807
1.488772639,65.09564736,37,58.80857807
1.495327996,65.09564736,37,58.80857807
1.488332844,65.09564736,37,58.80857807
1.494096496,65.09564736,37,58.80857807
1.496830812,65.09564736,37,58.80857807
1.489766737,65.09564736,37,58.80857807
1.494647516,65.09564736,37,58.80857807
1.504205588,65.09564736,37,58.80857807
1.488512628,65.09564736,37,58.80857807
1.491504038,65.09564736,37,58.80857807
1.492655674,65.09564736,37,58.80857807
1.572625115,65.09564736,37,58.80857807
1.59063557,65.09564736,37,58.80857807
1.490514681,65.09564736,37,58.80857807
1.485987269,65.09564736,37,58.80857807
1.490259775,65.09564736,37,58.80857807
1.496118241,65.09564736,37,58.80857807
1.493195025,65.09564736,37,58.80857807
1.486859931,65.09564736,37,58.80857807
1.489488127,65.09564736,37,58.80857807
1.486113081,65.09564736,37,58.80857807
1.485656511,65.09564736,37,58.80857807
1.492022967,65.09564736,37,58.80857807
1.488639898,65.09564736,37,58.80857807
1.502078817,65.09564736,37,58.80857807
1.493464154,65.09564736,37,58.80857807
1.481261111,65.09564736,37,58.80857807
1.481933203,65.09564736,37,58.80857807
1.502396082,65.09564736,37,58.80857807
