RT,PL,HC,DEG
0.056057081,114.2583904,16,108.2833242
0.016284447,101.991106,8,96.98641445
0.047652841,88.94022763,7,84.90555446
0.00867191,92.71051001,9,87.82351238
0.015787399,84.04004026,7,79.508514
0.015745826,139.1063991,11,131.7439347
0.020869474,62.73666146,5,58.29971801
0.032607185,116.3351585,11,110.9983535
0.030312666,59.79094965,6,55.62309644
0.012760618,49.45586216,2,46.67045479
0.011609347,95.72007747,5,90.31327157
0.013138054,109.8792097,9,103.9256183
0.015377507,94.42406763,7,89.82253233
0.040165751,125.3583568,13,119.9857596
0.068775032,109.703539,12,104.9144588
0.010624731,60.95800591,4,56.99849168
0.034184758,90.96370715,12,86.3791727
0.022168437,49.45586216,2,46.67045479
0.0318122,92.05693052,7,87.42991522
0.021048893,92.3976042,7,88.5812389
0.084238238,81.13805501,7,76.69792007
0.004105118,98.02839899,7,93.84718772
0.015373131,65.56241173,8,61.41602711
0.006512685,92.41264109,8,88.33881977
0.009392138,109.868884,7,104.468189
0.027221338,58.74697116,6,55.01020783
0.005424502,75.95006629,4,71.78893467
0.003562485,101.2818739,5,94.74498637
0.039199369,59.6141062,6,55.63986568
0.022270545,84.48092778,6,78.82840354
0.015060971,98.79783908,10,94.57259929
0.015630225,96.51063969,11,91.60426388
0.007192799,64.44029597,5,59.97142761
0.095753499,101.7400323,12,96.76117693
0.01452235,81.30116969,10,74.85206922
0.028658148,79.81617885,7,75.96278516
0.045874333,78.00825085,10,74.1249805
0.016379992,62.92296609,6,58.23669794
0.018642784,99.64610232,12,94.94919311
0.00627346,105.6198203,10,100.4184284
0.038078001,56.18670051,6,52.34250696
0.008749586,97.70791206,9,93.26197069
0.007932719,94.61524783,9,90.23778279
0.026642968,108.1727114,14,102.9984292
0.03430036,86.13759851,10,81.25456703
0.021326408,84.19621127,9,80.11858566
0.0185301,109.0130395,11,103.392919
0.034549066,88.77930875,10,84.87145633
0.032005476,71.89580238,8,67.36569117
0.013625985,117.1186164,10,112.822919
0.016756334,80.12278512,8,76.06221396
0.020705007,82.63465236,11,78.7069222
0.053283383,102.6340088,9,97.32628364
0.022106807,111.8775584,12,105.6175
0.032212975,79.26235801,8,75.25556103
0.036551847,92.35809228,10,87.86594304
0.013450213,79.07218983,8,74.66500372
0.009810053,99.34535952,8,94.7166543
0.091168837,118.6999374,11,112.9247428
0.055395566,88.48870252,9,84.69344653
0.02220928,94.58428911,7,90.61232996
0.017312094,94.62520528,9,90.22359345
0.028844495,109.0870085,14,103.7631799
0.304024124,72.43661489,9,67.67642108
0.002518792,73.28082298,5,69.39271618
0.056891452,94.03182518,15,90.26362934
0.076250088,100.6824145,8,96.49692905
0.033864941,98.94896436,9,94.57306083
0.042012452,99.38991062,9,94.40719292
0.014046817,79.70568626,5,75.71620857
0.01799622,110.7551537,10,104.6250709
0.03856411,64.27500537,7,60.35167237
0.00374008,98.90041421,5,93.72741657
0.164023095,112.7638434,9,107.50341
0.021245086,110.1799144,12,105.1355471
0.020134294,98.39110794,9,93.72158248
0.037140428,94.37060723,9,89.96693271
0.016668447,53.87007572,4,50.52901809
0.031951504,92.07605418,4,87.40516371
0.031088325,70.68352659,7,66.12554005
0.026524449,102.0922565,11,97.21759007
0.025259765,66.40382541,9,61.86845227
0.023316791,70.61776262,7,65.77248784
0.013096846,92.4838921,10,88.45991019
0.031256439,91.92209878,7,87.95349145
0.040813774,81.63790466,9,77.46136795
0.017401074,109.5544569,10,105.4907497
0.014414407,70.73942621,5,66.80565176
0.037080622,110.1561035,12,105.1751318
0.026818011,109.8511462,13,105.3061139
0.007558201,82.96843462,7,77.7640727
0.017879889,49.45586216,2,46.67045479
0.017571012,109.1839907,12,104.2762547
0.049189935,81.29090221,11,76.83648548
0.030284587,61.65390119,6,57.79073878
0.007932719,112.5835919,6,107.8123586
0.022948836,109.9437935,11,104.027681
0.017002852,67.11994192,6,63.04455985
0.027177942,105.60371,11,100.7918842
0.038209648,100.2054662,9,95.10815453
0.015261177,68.13431769,7,63.85140287
0.013135866,80.69902913,7,76.32306159
0.050389343,61.32634375,7,57.52615318
0.036660884,102.6723099,8,97.84493775
0.01341484,98.24027542,6,93.9527033
0.017575023,78.42934818,7,74.39090901
0.020329394,101.3845943,8,96.88214792
0.050500932,62.16775743,5,57.707414
0.00640146,99.66257965,4,94.7202975
0.012237313,67.7688009,6,63.07622381
0.012586669,97.60374482,9,92.69428378
0.011623569,98.92599957,7,94.21795995
0.007659215,121.6933185,9,114.8580095
0.033653795,113.6617604,10,108.4506306
0.057298062,106.0657768,14,101.3242244
0.012571717,53.69193014,4,49.55469407
0.015815843,59.65390119,4,55.38867049
0.006066691,115.915981,9,110.2717792
0.028902478,117.02535,14,111.1809803
0.020210875,108.5124787,9,103.3880096
0.016889804,97.77241905,7,93.295645
0.017269792,108.0882498,9,103.2743763
0.029189475,102.9077538,9,97.79753278
0.003447248,98.95835588,5,94.02503584
0.016819787,91.16227539,6,86.55724898
0.020992369,103.3238969,7,98.79084032
0.023347423,93.71076787,11,89.61619846
0.035953055,59.43069902,5,54.81466343
0.029087367,106.2674729,11,101.8004097
0.017472186,109.8994051,6,105.1284866
0.016935023,67.40670678,7,63.34353569
0.004407796,85.13948608,6,80.8368805
0.008341882,95.26453378,6,90.64943162
0.018832778,83.78241566,8,79.92583066
0.016782225,98.62631229,10,93.96252758
0.044096555,54.28428928,5,50.87226752
0.023851036,99.56042757,12,93.99765967
0.022429907,109.0020923,7,104.537978
0.016138578,91.41217724,8,86.92202933
0.028156358,82.22924933,6,77.73398576
0.038691745,65.93457082,9,61.01930911
0.02224283,52.77248695,3,49.59954813
0.039682195,107.7062271,10,103.0488742
0.024860814,92.21633596,8,87.72303134
0.016915331,66.56610307,8,61.99078776
0.013887091,107.5518882,11,101.6957831
0.016884334,81.00233624,7,76.82107834
0.026257874,108.1279464,9,102.4109312
0.497792455,105.7772169,10,99.12685106
0.015361461,88.1259551,5,83.27101197
0.036630616,104.0578986,10,98.59308016
0.031800895,80.15315054,10,75.51326888
0.031869453,90.41490086,7,86.54377697
0.011952868,102.9682183,9,97.28579585
0.042760395,70.37245583,8,65.61531532
0.011311409,91.99234874,11,87.32073892
0.014647433,106.0650311,10,100.9616775
0.11204451,94.38398548,4,89.85050629
0.027045202,66.5352489,8,61.74033587
0.028309886,95.29257791,11,90.44881318
0.025345828,101.3273462,7,97.15632953
0.009404537,98.66859909,8,93.75910947
0.012625689,101.4513842,9,97.18360896
0.02121336,72.91631194,5,68.97585129
0.036586491,104.9468877,10,100.3069722
0.021216642,99.41252281,9,94.26972744
0.009170053,100.6829583,6,95.49166699
0.011234828,134.874723,9,127.0507908
0.014583615,117.3700718,11,111.9508597
0.020282716,58.88984056,5,55.07114776
0.027106466,109.9692846,12,105.1063399
0.009803124,99.9153559,10,96.16938559
0.009690441,56.59729059,3,53.0775066
0.044678208,84.62719328,8,80.54918527
0.02794339,79.16151117,6,74.55800716
0.013565814,53.9053519,4,50.1779143
0.023584095,88.07952521,10,84.16901765
0.006664753,89.99353734,5,85.50952474
0.006623181,99.00413723,6,94.3642819
0.006490805,103.9638396,7,99.1614754
0.027470774,94.2307555,7,90.5513733
0.015667786,98.96343165,7,94.58488951
0.020451195,110.711451,9,105.0017788
0.083451274,85.90891312,6,82.01487514
0.011531672,94.70497938,9,90.76876819
0.020437337,117.1576052,12,111.9817708
0.032951801,69.13869738,11,65.00106999
0.100247357,93.26321536,11,88.16670467
0.012263569,98.79917605,8,93.94442216
0.024338603,98.99720827,10,94.81727263
0.022613702,110.3020963,8,106.1481499
0.024042489,89.50664496,9,84.51034318
0.00528775,95.29873337,6,91.4758356
0.007761688,98.72273618,11,94.79956279
0.004514645,93.14045923,6,88.41720234
0.015177302,87.87072431,9,83.58876587
0.06500432,71.86624592,9,67.06374643
0.023751845,85.41062137,10,81.47911786
0.019978214,49.45586216,2,46.1997672
0.06041674,105.3994251,11,100.3355077
0.026615253,93.82475083,11,89.5019622
0.011279683,112.2145496,11,106.887645
0.035258354,83.76831496,8,79.27990183
0.03830811,61.54669481,5,57.7518009
0.023533406,95.24891958,10,89.56281106
0.017185188,91.90800734,6,87.35029442
0.012200116,97.11346846,7,93.05396968
0.003218599,96.74933968,5,92.20226208
0.027940108,111.5397827,12,104.8729876
0.010268811,83.95570884,7,79.68271104
0.018562556,89.15756643,7,85.12286911
0.014258692,114.788886,9,109.5619656
0.017668379,120.6037329,10,115.5913047
0.004663796,92.00627212,5,87.63858795
0.010763307,112.9395616,6,107.2009306
0.01824602,97.00617159,10,92.82936422
0.028135207,100.7991441,11,96.28803005
0.03190592,86.4725242,4,82.62833208
0.045834219,83.48615129,4,79.72420592
0.016609371,101.909112,10,97.74547156
0.02651205,102.8060499,15,98.08803037
0.044110413,108.5265982,12,103.7798142
0.047339222,102.1920694,11,97.80540283
0.023301839,67.69174673,5,63.84545051
0.020818055,99.05753456,10,93.76938225
0.019144938,58.00855493,5,54.06180883
0.622311316,110.1240172,11,103.2928548
0.057431897,128.9940628,12,122.4807949
0.010112731,97.68065321,6,92.46545476
0.042297626,60.4293412,9,56.64066244
0.011493746,49.45586216,2,46.67045479
0.034697488,88.72737905,9,84.70284578
0.031508063,95.18992685,11,90.63668377
0.008734269,49.45586216,2,46.1997672
0.023875833,95.2909749,10,90.60033033
0.012681484,93.07643558,6,88.02291473
0.016782955,103.3580729,8,99.47776321
0.008577825,82.09536294,8,78.25030734
0.02297254,61.16056207,3,57.57802853
0.00315004,57.6696555,4,53.47555645
0.050084112,96.77843489,8,90.95769897
0.034910457,88.20387762,7,83.97269494
0.011975843,68.57313012,6,64.54458985
0.050554539,71.60064484,5,66.87969001
0.009128845,92.22303957,6,88.17903361
0.011595854,67.17854472,6,62.71602082
0.010235626,106.4401068,6,100.6159685
0.013463706,87.32559029,8,82.40386528
0.019177394,86.07702266,8,81.75996766
0.032287368,106.1603895,13,100.6133167
0.024268221,93.09386543,12,88.9759011
0.015901906,87.58721409,3,83.68743508
0.022688825,65.4699809,8,61.44042476
0.012380629,89.97649171,7,85.32007739
0.014128504,98.04122357,10,93.3259532
0.028772655,67.77352397,9,63.22182784
0.024978603,72.64250358,6,68.56842079
0.018649713,89.55367903,9,85.78141417
