RT,PL,HC,DEG
0.308458401,94.83937219,14,90.86793882
0.103899627,107.2140383,10,100.9478608
0.102986122,93.0126031,7,89.26295467
0.104204859,105.4508094,9,100.1621859
0.103583092,106.2402312,6,101.1360953
0.104401782,89.36149269,8,85.13341063
0.104313896,94.34336092,9,89.90609472
0.104761349,97.90721476,12,94.03772481
0.10355173,86.64150819,8,82.81200054
1.440643501,93.22365293,12,88.18167867
0.103480983,94.20989286,9,90.23477027
0.103378146,113.3765427,5,107.7500583
0.103904733,102.2539124,9,97.8342109
0.103564129,75.54454412,9,71.55479239
0.205200962,120.6750095,8,115.4469631
0.408658424,125.8501407,9,118.0740684
0.104429862,110.4316292,14,105.1001741
0.104288004,112.8916881,10,107.7570428
0.104005018,88.48766236,6,84.409017
0.103210396,101.6252307,8,96.5861984
0.104172038,102.2970738,11,98.38198267
0.205417213,122.4331795,10,116.6905929
0.205196221,94.87528271,6,90.88944983
0.104402511,81.5112473,4,77.70555449
0.204580289,99.83182111,13,95.61564761
0.105114717,79.10613799,9,74.54474723
0.104083423,118.988075,9,112.3499076
0.104507537,113.3747975,8,108.0702986
0.104477998,96.68999003,11,92.26120828
0.104393759,66.22634566,5,61.74853466
0.104067742,100.2522302,11,95.79538102
0.10399663,78.29629447,5,73.71782328
0.104240961,87.59117913,6,83.57855696
0.206742798,89.214682,8,83.70558146
0.104045497,88.78546552,6,84.95681498
0.206607505,110.3882949,11,105.1724805
0.207613637,111.3519741,12,106.2084098
0.104122078,91.75787067,9,86.31862418
0.207021043,95.81205787,9,90.64810476
0.104824802,97.73067002,8,93.44212462
0.103903639,84.25992096,8,80.33015599
0.103419718,112.435207,9,106.9762558
0.103621382,96.33892323,8,92.49959186
0.104447731,113.3040277,13,108.9669665
0.104122078,115.7843526,10,109.9106745
0.104268312,114.232702,13,108.5991482
0.104600893,96.34155266,5,92.48499802
0.10307802,94.32721504,6,90.52583319
0.104646842,118.8807078,10,111.1802892
0.104051331,77.98235969,6,73.93162518
0.104353645,96.46437392,13,92.67628783
0.104693155,90.63142966,4,86.47463208
0.104584847,116.6658694,6,108.447086
0.104006477,83.85851385,5,80.05294145
0.104424027,62.43727173,7,58.3735058
0.306024211,123.4278923,12,118.0653756
0.206657829,112.732409,13,107.0898478
0.104492221,78.57363049,7,74.54600587
