RT,PL,HC,DEG
0.408755062,73.50781127,8,70.92702969
0.104682944,99.32463531,6,97.3657836
0.103389815,48.0416486,1,47.14560579
0.104086705,86.76509917,4,84.92736688
0.103691399,93.97762491,7,91.63604605
0.103500676,76.20249907,6,74.05027495
0.103947035,103.9439061,15,100.6407115
0.104325201,116.1398804,10,113.7316098
0.104192095,109.2811528,7,107.7044766
0.103959434,100.3562054,3,97.57342819
0.103853314,105.7195225,10,103.288361
0.103459103,109.971602,8,108.3368595
0.103709998,102.4797036,7,100.7217704
0.103664414,113.262369,8,111.4799492
0.103680095,72.64234884,5,71.34164361
0.104698261,75.42002751,4,73.45768216
0.103910203,105.8623063,7,103.534936
0.721950926,120.6120371,14,117.7746803
0.10342847,110.2869704,12,106.3908325
0.104133383,120.6895781,10,117.0856209
0.104106032,98.90151447,10,95.94598757
0.103901816,105.2893847,9,101.9429575
0.103699787,99.10350652,7,97.59180805
0.103560482,94.10412086,7,92.99907856
0.104487115,90.90300955,8,89.47185248
0.104141041,90.36492605,5,89.26080027
0.104485657,97.83402003,3,95.4918969
0.104297121,70.93269488,2,69.69770253
0.104476175,109.4270658,9,106.4698865
0.104636266,106.770336,7,104.2445014
0.104312437,95.93005421,6,94.02667279
0.210218494,121.4693009,11,118.6558366
0.104250443,90.29090895,2,88.91636279
0.104750044,106.434642,7,105.0290718
0.514677529,101.0081937,12,98.55597039
0.103867536,72.16632476,2,71.16465549
0.204705007,122.925422,11,119.9418796
0.720678583,114.7987803,12,112.0359751
0.103483536,94.58742068,8,91.70963547
0.104518112,107.4349364,7,105.9609916
0.309623165,94.31510297,7,92.22254389
0.103997724,87.72919424,5,86.61183762
0.10425883,100.8980934,10,99.03282432
0.104034921,119.1657834,8,116.5080421
0.103648368,102.8399613,8,100.7817776
0.103514898,114.6434303,7,112.5173512
0.104266124,117.2995017,7,115.1586431
0.103671707,99.2533632,8,96.08313628
0.103672436,124.3688744,9,121.4826574
0.104889349,133.8817463,11,130.7112779
0.205570375,97.37872462,9,94.35929622
0.104473987,90.99850199,6,89.21121559
0.1033012,88.07399869,7,87.04879841
0.104750044,99.48390963,7,97.70993878
0.104248255,90.9092391,7,89.70007931
0.104307696,91.7304027,7,90.41787018
0.928189017,103.3221954,11,100.759012
0.405795014,84.56057758,10,81.72281017
0.104240232,98.94165449,7,97.01071884
0.104297121,112.4247353,7,109.1018009
0.714650543,101.4575303,9,98.9358401
0.104367503,93.21124771,8,92.08683119
0.103533131,96.14518895,8,94.35267023
0.10445393,65.2577529,4,63.86344891
0.104378807,107.1870149,9,104.7257302
0.105271526,106.4214468,11,104.2384266
0.103927343,95.35188957,6,94.09714547
0.923699532,95.60126664,10,93.15916031
0.103489371,115.8272683,6,113.4662663
0.104200482,118.6302759,7,116.2916417
0.103950682,77.64906078,5,76.50906349
0.103767251,90.91753768,3,89.70257131
0.102985028,91.98594644,4,90.81889638
0.103560117,79.48763173,5,78.23399889
0.104294933,87.58685733,4,86.50941357
0.103706351,122.840371,12,119.4134847
0.510754016,93.7988571,9,92.11557094
0.104402511,87.65225324,2,86.2689337
0.104296027,63.30598612,2,61.36638966
0.103534225,102.1333867,5,100.1227031
0.104517748,101.567849,8,99.39347374
0.309170607,121.6320759,12,118.3824159
0.104441896,106.0114832,7,103.6726542
0.103575798,105.5921464,3,102.6983899
0.205417942,97.42049794,9,95.68130995
0.105068403,98.08724289,7,96.87071418
0.103405861,111.5804707,7,109.8250799
0.104214705,98.96272482,4,98.04310089
0.103558294,48.0416486,1,47.14560579
0.104142135,97.22892592,6,95.79032241
0.10447654,127.5751572,6,124.1496343
0.104823708,92.51125391,3,91.17599634
0.104474352,97.45819125,8,94.7687824
0.103943024,75.275608,6,73.85056104
0.104559685,87.44249947,7,85.13988964
0.104442625,99.91812696,5,97.79890761
0.103633052,121.2947321,11,119.1852828
0.103544072,114.4106204,8,111.4204288
0.104853611,98.19759668,4,96.76281926
0.104618762,117.46089,8,113.770181
0.103525109,73.65307991,4,71.93960898
1.040856106,124.399307,11,119.7975873
0.104422933,111.0506778,9,107.7270977
0.104641736,95.48232131,3,93.75285677
0.103865348,84.27825757,9,82.23630316
0.725892309,120.1726123,11,114.7942406
0.104251901,109.6295326,9,107.1149038
0.103514168,87.94038971,3,87.01093669
0.104313166,83.70934193,7,80.93582009
0.103819035,73.53814676,3,72.13146986
0.103936459,76.86045129,7,74.91435648
0.103193986,89.60438241,6,88.46521277
0.104847047,115.1293503,5,111.304822
0.103958704,97.24886194,4,95.49614911
0.927062179,81.61885073,10,79.05783827
0.103848573,92.71453277,5,91.37284108
0.104120984,65.35566018,3,64.20937593
0.104363491,108.243852,6,104.9087802
0.624009321,96.18419681,12,92.00243788
0.104566249,92.19378007,6,90.11713164
0.104439343,115.2160377,8,113.1860463
0.103966727,89.87342731,5,88.67128405
0.104198659,89.64034913,5,87.55104739
0.104001736,70.25892061,5,68.91603384
0.104546922,98.85545942,7,96.64711816
0.204635355,116.1037579,10,113.7744163
0.413748525,117.3066648,12,114.4655926
0.103922967,97.40318456,6,95.64810887
0.104568437,84.98230771,6,83.91458471
0.104349998,102.7140155,8,99.09799826
0.103727502,102.3311777,10,100.3907291
0.104065554,92.77542883,3,90.35941834
0.104691697,90.47562973,3,88.86073124
2.202086293,123.9324661,11,120.6788176
0.104263571,89.61170109,3,88.11624855
0.104717588,105.2144913,7,103.7859429
2.626424913,111.356293,14,108.3110438
0.103762146,135.3505382,8,130.9250909
0.103551365,102.5518053,5,99.96337477
0.1046545,87.95510671,9,86.60869582
0.104710295,80.59604336,8,78.92737782
0.104448095,106.3823978,6,104.6530655
0.103452903,111.6646483,5,108.8861512
0.103592208,87.30558705,3,84.98831062
2.720290207,123.5017,18,119.6997464
0.104539263,90.24387386,7,88.84174486
0.514697951,100.5623173,11,98.96722502
0.103466761,121.0493006,10,116.5750504
0.104100927,91.03928637,7,89.90980923
0.103993713,107.8368509,5,105.9958991
0.104174591,89.9914361,6,88.66110563
0.103758864,95.37735387,8,93.98147324
0.103894887,78.44790058,4,77.39185749
0.103891969,66.77737092,4,65.45433118
0.719066,98.71239694,8,95.64880671
0.104277793,94.28941187,8,92.52307623
0.103833986,68.04258651,4,66.45746971
1.23677943,94.1044925,14,91.69132586
0.104599434,101.6671124,8,99.1442097
0.103714009,79.67857442,5,77.67909745
0.104652677,101.2130893,8,98.78515603
0.206069977,105.1796681,12,103.0804796
0.10334569,110.0568257,10,107.362001
0.104512642,85.70130807,3,84.31828856
0.104788335,89.87903411,5,87.4032762
0.103750841,73.79758121,3,72.77852996
0.104051696,99.25264272,9,96.93152025
0.103758864,106.8424936,6,105.030228
0.104855799,114.6814817,5,111.5366131
0.103782568,48.0416486,1,47.14560579
0.1037523,82.88777709,6,81.26226377
0.204712301,108.3210965,13,106.2371598
0.104475081,109.8580162,6,106.6478825
0.104339058,67.08395856,4,65.93585411
0.10352365,98.42171533,6,97.03146773
0.103698328,74.55180532,5,73.4949391
0.103137097,108.730976,5,106.4973754
0.103891605,96.22343996,6,94.77661918
0.103929895,131.2839574,11,126.7639801
0.10415271,93.45663018,4,92.15632244
0.104299309,94.89680691,5,93.50388595
0.723474893,97.57937041,10,95.39357679
0.104801463,102.5606443,5,100.7250453
0.103522556,129.555033,7,125.356229
0.206773431,108.9595167,11,107.0264919
0.10346749,105.1822773,10,102.9838681
0.408797364,98.06951347,8,96.15675132
0.103944118,78.90543664,4,77.96445065
0.104725246,66.67893604,3,65.24365048
0.103795696,103.382338,7,101.518286
1.663709779,113.5908037,12,109.6675937
0.205653156,114.9723955,13,113.3486594
0.104652677,103.1178483,9,100.9773532
0.104346352,113.7363722,8,111.0880923
0.103780744,97.324329,3,96.15622652
0.512174051,114.5765399,15,111.0729711
0.103517815,104.9684313,7,102.7822477
0.103971468,112.9632779,10,110.7698351
0.10363524,93.82300439,4,91.84683606
0.10409728,62.59103721,6,60.54592364
0.103785485,93.87560916,9,91.39105364
0.104139217,89.76624374,5,88.46002418
0.206374843,101.238546,9,98.77215087
0.104639184,104.0968352,6,101.2625228
0.104845588,91.90421479,7,90.53548598
0.103479525,100.6105135,6,98.96396683
0.104519571,80.64996953,3,79.14889152
0.104444448,111.2015295,7,108.61547
0.104211423,114.5789039,12,110.937222
0.103810283,96.37405143,4,94.5671108
0.104133747,94.38178788,5,93.09977844
0.104077952,89.35159405,4,88.22034898
0.10473254,77.96513984,3,76.96265371
0.204656506,119.5401463,13,117.2033579
0.104239138,107.3295895,7,104.8664223
0.618581168,94.86127131,5,92.99498903
0.104784323,91.06415863,6,89.99220937
0.304860175,94.8877914,7,92.7654974
0.103772721,108.4635837,7,106.0497461
0.51634773,110.892064,9,106.8924257
0.10343394,101.8032303,8,99.47859089
0.103964904,86.7602019,4,85.76012175
0.925048456,102.9942412,8,100.0853482
0.103703798,76.39654236,2,74.79100329
0.103532767,94.32523264,7,92.59709229
0.103945576,98.91414664,6,97.05363788
0.104364585,78.42374477,6,76.80091034
0.104791617,109.48014,7,106.752274
0.408954173,79.5113005,9,77.6679003
0.104015229,118.3596049,10,114.9620648
0.10371328,76.57233383,2,75.60544615
0.410176921,138.9491267,20,134.1834332
0.103702704,69.16672758,4,67.01894946
0.933447233,100.0097373,16,97.73219676
0.412275612,91.54523281,9,89.94794623
0.104705189,88.51736896,7,85.78182472
0.104034921,74.50836214,6,72.79548782
0.10461548,77.42612448,5,76.29716048
0.104092904,100.0983643,6,98.63593771
0.20766542,85.42572091,9,83.13875394
0.20427834,99.41685523,8,97.68894875
0.104460859,86.71664711,8,85.30113289
0.104235856,97.03370468,4,95.38876732
0.104338329,88.17300053,3,86.69375931
0.104604904,94.89654671,6,92.23890711
0.513009516,102.5744661,12,100.0161311
0.103876288,125.2109235,5,121.4788326
0.104914876,80.10327427,4,79.02394107
0.103908744,78.6495848,5,77.24605905
0.104647936,108.4221096,9,105.7510922
0.104235491,88.85104703,4,87.29856282
0.518386615,86.84233972,9,84.44579079
0.103612995,81.11102965,4,78.83915033
0.10406993,115.353586,7,112.2735778
0.10370161,103.3955571,10,101.0762188
0.104352551,78.96026458,4,77.55898719
0.104766819,161.4138641,12,155.9033229
0.206435014,105.9262408,10,103.3126832
0.103270932,75.65475966,3,74.61476401
0.204566432,101.3068167,11,99.19785354
0.413497995,125.7120913,10,122.9042774
0.515469233,120.342918,12,116.6326594
0.40732591,100.8650284,9,99.07210388
0.104887526,48.0416486,1,47.14560579
0.103888687,109.9746757,10,107.9079814
0.513479944,97.10545773,8,95.09003202
0.512733094,113.9993099,10,110.8040354
1.035555953,133.8220703,15,128.8497328
0.103909109,95.82942336,9,92.99724818
0.103732243,94.07758172,6,92.75879907
0.103470772,48.0416486,1,47.14560579
0.104232574,77.24025649,6,74.7935888
0.306276564,120.3276911,11,116.9548074
0.104002465,109.2623044,11,106.6167691
0.306985853,92.54115622,11,90.16380549
0.1043314,93.09959049,9,90.36732772
0.103972927,106.8790423,5,103.7382596
0.104573907,84.96629165,5,83.98096172
0.103836174,95.4181314,5,94.03895926
0.104293839,87.26775937,3,85.840588
0.104643924,94.83875147,5,93.02625034
0.104265394,117.4609394,8,113.2648294
0.10380226,102.4396614,6,99.23234719
1.716828369,95.34831441,10,93.3915593
0.1037523,75.54608198,6,74.02661019
1.022622471,93.50780038,5,91.04778502
0.10407467,106.5156818,5,104.4044347
0.104323377,117.895598,7,115.4594811
0.10470446,118.1661401,8,115.078942
0.104541451,124.153546,7,120.6468954
0.104095457,93.50989545,6,92.08092323
0.103906192,82.23412378,6,80.99055823
1.140393518,96.19923906,10,93.41915194
0.104615845,76.42754608,7,73.54275686
0.104130101,76.8713153,4,75.42611502
0.103621018,56.68084081,3,55.55373478
0.104254454,77.60856409,3,76.42057379
0.826647363,109.1253271,17,105.5362841
0.103599502,97.20681631,7,95.3924382
0.825257231,121.2140045,8,118.1245428
0.104801828,133.4072283,10,129.1064433
0.105047617,48.0416486,1,47.14560579
0.103705986,96.54779488,4,94.55407802
0.104159274,104.210268,6,102.396871
0.104449919,48.0416486,1,47.14560579
0.104361668,137.2749876,9,134.9895253
0.104085246,87.78422196,8,86.33036499
0.305676313,110.621229,9,107.4919896
0.104344528,97.18607463,7,94.47622555
0.10454291,102.8249454,4,100.7770461
0.103960528,117.2422561,12,113.7953168
0.104185166,88.92367126,8,87.8337759
0.104034921,102.9857991,7,99.78680178
0.412314997,89.64642614,12,87.49185054
0.104033462,95.19168306,7,92.18119423
0.103842374,98.46302374,4,96.72174681
0.104374796,103.0371187,5,101.1098665
1.250667625,134.1524857,13,129.7190648
0.10409181,113.5887367,12,111.7033837
0.104057531,88.97386198,4,87.83658449
0.104082329,101.2071315,5,99.67459083
0.104341975,100.3504626,7,98.47291106
0.309717251,114.433184,14,112.4092676
0.104282169,57.2706755,4,55.46499409
0.206254501,55.18791297,4,53.53101197
0.104176414,144.3957545,8,138.10751
0.104497691,110.994355,10,106.1628503
0.104090716,102.43896,8,100.4324718
0.205278637,119.6521099,8,115.0571298
0.206704143,129.903819,9,126.9844046
0.103499217,87.31519023,3,86.37183387
0.103554647,97.59671202,10,95.71915496
0.103995172,90.25700816,5,89.39068196
0.103713644,68.73858705,3,66.40265166
0.104197565,77.36026232,4,76.40832708
0.204333041,83.16279353,10,80.9477766
0.6180389,105.9589647,10,103.3157422
0.103652379,95.87687413,5,94.5996635
0.10423148,118.1151552,8,114.889187
0.205838775,101.8720951,12,98.26072916
0.103898898,97.62941706,4,95.74896987
0.103784026,88.99419439,7,87.56095459
0.104228562,83.09660379,4,81.70297512
0.103862796,124.8349285,10,121.0709988
0.103764334,103.8837033,4,102.0385956
0.103966363,106.6347004,9,103.9716983
0.103933177,84.34460561,3,83.49731301
0.104294568,87.03072796,5,85.84855791
