RT,PL,HC,DEG,,RT,PL,HC,DEG,,RT,PL,HC,DEG,,RT,PL,HC,DEG,,,RT-CPU,PL-CPU,HC-CPU,DEG-CPU,,RT-GPU,PL-GPU,HC-GPU,DEG-GPU
0.002582612,119.7611347,5,115.0359059,,0.056057081,114.2583904,16,108.2833242,,-0.565827381,1.521174348,-1.589726076,1.571166584,,0.537411638,1.216810095,2.82625118,1.173802081,,Mean,0.031847878,96.8849809,9.101,92.15125494,,0.029667302,92.40230604,8.315,87.77876812
0.008365227,97.11629493,10,92.49133265,,0.016284447,101.991106,8,96.98641445,,-0.454023786,0.015381474,0.348491525,0.023348346,,-0.272533634,0.533844416,-0.115845039,0.527100142,,Median,0.019259095,97.97115505,9,93.31779429,,0.020600893,95.19880253,8,90.61420866
0.046146777,106.7014718,14,102.0496331,,0.047652841,88.94022763,7,84.90555446,,0.276461146,0.652758076,1.899065605,0.679582181,,0.366264451,-0.192746875,-0.483607066,-0.164479746,,Standard Deviation,0.05172119,15.0384825,2.57968971,14.56538803,,0.049105335,17.96178751,2.719149683,17.46849526
0.012803658,101.2621118,7,95.99302247,,0.00867191,92.71051001,9,87.82351238,,-0.368209229,0.291062007,-0.814439036,0.263760054,,-0.427558276,0.017158869,0.251916989,0.002561426,,95% Confidence Interval,0.029126293,96.09365143,8.965255953,91.38481984,,0.027083365,91.45715139,8.171917527,86.85957065
0.012672012,96.04036901,10,91.56468536,,0.015787399,84.04004026,7,79.508514,,-0.37075453,-0.056163372,0.348491525,-0.040271469,,-0.282655711,-0.465558663,-0.483607066,-0.473438267,,,0.034569462,97.67631036,9.236744047,92.91769003,,0.03225124,93.34746069,8.458082473,88.69796559
0.008010765,75.17148929,8,70.95457893,,0.015745826,139.1063991,11,131.7439347,,-0.460877108,-1.44386188,-0.426795516,-1.455277124,,-0.283502319,2.600191826,0.987441043,2.516826202,,,,,,,,,,,
0.010390984,80.14330086,9,75.66303369,,0.020869474,62.73666146,5,58.29971801,,-0.414856918,-1.113255945,-0.039151996,-1.132013868,,-0.179162374,-1.651597569,-1.21913112,-1.687555206,,Variance,0.002675082,226.1559558,6.654799,212.1505285,,0.002411334,322.6258105,7.393775,305.1483266
0.009310459,111.7382845,10,107.0852704,,0.032607185,116.3351585,11,110.9983535,,-0.435748259,0.987686331,0.348491525,1.025308453,,0.059868904,1.332431555,0.987441043,1.329226418,,,,,,,,,,,
0.01977693,99.71555388,14,95.67764339,,0.030312666,59.79094965,6,55.62309644,,-0.233384953,0.188221982,1.899065605,0.242107416,,0.013142433,-1.815596381,-0.851369093,-1.840780857,,,,,,,,,,,
0.003117952,93.04184138,5,89.13116367,,0.012760618,49.45586216,2,46.67045479,,-0.555476884,-0.255553678,-1.589726076,-0.20734712,,-0.344294248,-2.390989419,-2.322417202,-2.353283023,,,,,,,,,,,
